"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"gender"	"age"	"DIS_POS_01"	"EMP_NEG_01"	"EMP_POS_01"	"RES_NEG_01"	"RES_POS_01"	"RES_POS_02"	"RES_POS_03"	"EMP_NEG_02"	"DIS_POS_02"	"DIS_NEG_01"	"EMP_POS_02"	"RES_POS_04"	"EMP_NEG_03"	"EMP_POS_03"	"EMP_NEG_04"	"DIS_POS_03"	"DIS_NEG_02"	"RES_POS_05"	"DIS_NEG_03"	"RES_POS_06"	"DIS_NEG_04"	"RES_POS_07"	"DIS_NEG_05"	"EMP_POS_04"	"DIS_NEG_06"	"RES_POS_08"	"EMP_POS_05"	"RES_POS_09"	"rpgcode"	"PLY_NEG_01"	"PLY_POS_01"	"PLY_NEG_02"	"PL_POS_02"	"PL_NEG_03"	"PL_NEG_04"	"PL_POS_03"	"PL_NEG_05"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
6			"base"	"interview"	2020-03-02 17:47:44	1	19	1	3	5	3	5	5	5	1	1	5	4	5	2	5	3	3	5	5	5	5	5	5	5	3	5	5	5	5	"35333-1-1-3-1-35-153333553-5-3-5-5533333"	4	5	1	4	2	4	4	2	11	10	48	112	176		2020-03-02 17:50:45	1	0	4	4	0	0	0,83	0
7			"base"	"interview"	2020-03-02 17:53:21	2	25	3	3	4	2	4	5	4	3	2	5	4	3	2	3	4	1	5	4	5	4	4	4	4	3	5	4	4	3	"33351-3-3-5-1-31-313155553-5-5-1-1335311"	3	4	2	3	1	2	3	2	16	14	45	117	182		2020-03-02 17:56:33	1	0	4	4	0	0	0,72	0
8			"base"	"interview"	2020-03-02 17:55:35	1	25	4	2	3	1	4	4	4	2	4	2	5	5	3	4	4	3	3	2	3	4	3	4	2	4	3	4	5	4	"35351-3-1-1-1-11-153353553-5-5-5-3533333"	2	4	2	4	1	3	4	2	5	12	38	159	214		2020-03-02 17:59:09	1	0	4	4	0	0	0,93	3
9			"base"	"interview"	2020-03-02 17:58:35	2	21	2	2	3	3	3	5	5	2	2	4	5	4	2	4	3	1	4	5	4	3	3	4	5	5	4	4	5	4	"35551-3-1-1-1-15-153355553-5-5-5-5333331"	2	4	3	4	3	5	4	2	4	7	29	131	171		2020-03-02 18:01:26	1	0	4	4	0	0	1,27	15
10			"base"	"interview"	2020-03-02 18:08:43	1	28	4	4	3	2	5	3	4	2	4	2	5	4	1	4	2	5	2	5	2	5	2	4	4	5	2	4	5	5	"35351-3-1-3-1-15-353353553-5-5-1-5533333"	1	5	1	5	2	4	4	2	6	10	25	85	126		2020-03-02 18:10:49	1	0	4	4	0	0	1,21	10
11			"base"	"interview"	2020-03-02 18:22:23	1	22	2	2	3	2	4	5	4	1	4	4	5	4	1	5	3	3	4	3	4	5	3	4	4	5	4	4	5	4	"35351-5-1-5-1-11-353333555-5-3-5-5533333"	3	4	1	4	2	5	4	3	7	13	52	337	184		2020-03-02 18:29:12	1	0	4	4	0	0	0,67	0
12			"base"	"interview"	2020-03-02 19:45:33	2	28	5	4	3	4	2	2	2	5	4	2	2	2	3	2	2	3	2	2	2	2	2	4	2	3	2	1	1	1	"35551-1-1-3-5-15-153355553-1-3-5-3133131"	2	3	3	2	3	2	2	2	6	9	34	90	139		2020-03-02 19:47:53	1	0	4	4	0	0	1,12	6
16			"base"	"interview"	2020-03-03 08:36:32	2	22	2	2	3	2	4	4	3	2	4	3	4	3	2	4	4	3	2	2	3	4	2	4	2	4	3	4	4	4	"35351-1-1-5-1-31-153355553-5-5-5-5531333"	2	4	1	4	3	3	4	2	6	10	44	156	216		2020-03-03 08:40:08	1	0	4	4	0	0	0,9	0
17			"base"	"interview"	2020-03-03 10:22:53	1	22	3	2	4	2	4	5	3	1	2	4	5	4	3	3	3	2	3	4	3	4	3	4	4	4	3	4	4	4	"35351-3-1-5-1-15-153351553-5-5-5-3515311"	2	4	1	4	2	4	3	3	6	8	40	101	155		2020-03-03 10:25:28	1	0	4	4	0	0	1,08	4
19			"base"	"interview"	2020-03-03 15:50:39	2	35	3	3	3	1	4	4	5	1	4	2	5	5	1	4	1	5	2	5	2	4	1	3	4	5	3	4	5	5	"35353-1-1-3-1-15-133335553-5-5-5-5131151"	1	5	1	4	2	4	4	2	6	10	34	117	167		2020-03-03 15:53:26	1	0	4	4	0	0	1,02	1
20			"base"	"interview"	2020-03-03 17:56:15	1	21	4	1	4	2	3	5	5	1	1	4	4	4	4	4	2	4	3	4	4	5	3	3	2	4	3	4	5	4	"35353-1-1-5-1-11-333553553-5-3-5-5533331"	2	4	1	4	4	4	3	4	4	12	88	250	304		2020-03-03 18:02:09	1	0	4	4	0	0	0,8	6
22			"base"	"interview"	2020-03-03 19:59:12	2	17	3	2	3	3	3	4	4	2	4	4	4	4	2	4	4	4	2	3	4	4	4	2	2	4	3	3	5	4	"53351-3-5-3-1-35-353315555-1-3-1-1135111"	1	4	1	4	2	5	3	3	4	30	227	384	164		2020-03-03 20:09:58	1	0	4	4	0	0	0,57	6
23			"base"	"interview"	2020-03-03 23:03:02	1	22	3	2	2	3	2	2	2	2	1	4	1	4	4	1	4	2	3	3	4	1	3	2	3	2	4	2	1	2	"35353-3-5-3-1-51-535133531-5-3-5-5551333"	2	2	2	4	1	4	3	3	6	13	33	80	132		2020-03-03 23:05:14	1	0	4	4	0	0	1,08	7
24			"base"	"interview"	2020-03-04 00:00:40	2	23	1	1	3	4	5	2	3	1	3	3	5	2	1	5	1	1	4	3	3	5	2	5	3	5	2	5	5	5	"35555-1-1-1-1-15-135133115-1-1-1-5133315"	1	4	1	5	3	5	4	4	5	11	40	109	165		2020-03-04 00:03:25	1	0	4	4	0	0	1,02	3
