Nr	Gender	Age	DIS_POS_01	DIS_POS_01_GAME	EMP_NEG_01	EMP_NEG_01_GAME	EMP_POS_01	EMP_POS_01_GAME	RES_NEG_01	RES_NEG_01_GAME	RES_POS_01	RES_POS_01_GAME	RES_POS_02	RES_POS_02_GAME	RES_POS_03	RES_POS_03_GAME	EMP_NEG_02	EMP_NEG_02_GAME	DIS_POS_02	DIS_POS_02_GAME	DIS_NEG_01	DIS_NEG_01_GAME	EMP_POS_02	EMP_POS_02_GAME	RES_POS_04	RES_POS_04_GAME	EMP_NEG_03	EMP_NEG_03_GAME	EMP_POS_03	EMP_POS_03_GAME	EMP_NEG_04	EMP_NEG_04_GAME	DIS_POS_03	DIS_POS_03_GAME	DIS_NEG_02	DIS_NEG_02_GAME	RES_POS_05	RES_POS_05_GAME	DIS_NEG_03	DIS_NEG_03_GAME	RES_POS_06	RES_POS_06_GAME	DIS_NEG_04	DIS_NEG_04_GAME	RES_POS_07	RES_POS_07_GAME	DIS_NEG_05	DIS_NEG_05_GAME	EMP_POS_04	EMP_POS_04_GAME	DIS_NEG_06	DIS_NEG_06_GAME	RES_POS_08	RES_POS_08_GAME	EMP_POS_05	EMP_POS_05_GAME	RES_POS_09	RES_POS_09_GAME	TOTAL_DIS	TOTAL_EMP	TOTAL_RES	TOTAL_DIS_GAME	TOTAL_EMP_GAME	TOTAL_RES_GAME
0	1	19	1	5	-3	-3	5	3	-3	-1	5	3	5	3	5	3	-1	-1	1	5	-5	-5	4	3	5	3	-2	-3	5	3	-3	-1	3	3	-5	-3	5	5	-5	-3	5	5	-5	-3	5	5	-5	-3	3	5	-5	-3	5	5	5	3	5	3	-25	13	42	-7	9	34
1	2	25	3	1	-3	-3	4	3	-2	-3	4	5	5	3	4	1	-3	-3	2	1	-5	-3	4	3	3	3	-2	-5	3	5	-4	-3	1	5	-5	-3	4	1	-5	-3	4	5	-4	-1	4	1	-4	-1	3	3	-5	-5	4	5	4	1	3	5	-22	6	33	-9	1	26
2	1	25	4	5	-2	-1	3	3	-1	-1	4	5	4	3	4	3	-2	-1	4	3	-2	-5	5	3	5	3	-3	-1	4	5	-4	-3	3	5	-3	-3	2	1	-3	-3	4	5	-3	-3	4	5	-2	-3	4	5	-3	-3	4	5	5	1	4	3	-5	10	34	-7	11	32
3	2	21	2	5	-2	-1	3	5	-3	-1	3	5	5	3	5	3	-2	-1	2	5	-4	-3	5	3	4	3	-2	-1	4	5	-3	-3	1	5	-4	-3	5	5	-4	-3	3	5	-3	-3	4	5	-5	-1	5	5	-4	-3	4	5	5	1	4	5	-19	13	34	-1	13	38
4	1	28	4	1	-4	-1	3	3	-2	-3	5	5	3	3	4	3	-2	-1	4	5	-2	-5	5	3	4	3	-1	-3	4	5	-2	-3	5	5	-2	-3	5	5	-2	-3	5	5	-2	-3	4	5	-4	-3	5	5	-2	-3	4	5	5	1	5	3	-1	13	37	-9	9	34
5	1	22	2	5	-2	-1	3	3	-2	-3	4	3	5	5	4	3	-1	-1	4	5	-4	-5	5	3	4	3	-1	-5	5	5	-3	-5	3	3	-4	-3	3	1	-4	-3	5	5	-3	-3	4	5	-4	-3	5	5	-4	-3	4	5	5	1	4	3	-14	16	35	-7	5	30
6	2	28	5	5	-4	-1	3	5	-4	-1	2	5	2	3	2	3	-5	-1	4	3	-2	-1	2	3	2	3	-3	-3	2	5	-2	-1	3	3	-2	-3	2	5	-2	-1	2	5	-2	-3	4	5	-2	-1	3	5	-2	-3	1	5	1	1	1	5	0	-3	14	-1	13	38
7	2	22	2	5	-2	-3	3	3	-2	-1	4	5	4	3	3	3	-2	-1	4	5	-3	-5	4	3	3	3	-2	-5	4	5	-4	-1	3	5	-2	-3	2	1	-3	-3	4	5	-2	-3	4	5	-2	-3	4	5	-3	-1	4	5	4	1	4	5	-6	9	30	-3	7	34
8	1	22	3	5	-2	-1	4	3	-2	-1	4	5	5	3	3	3	-1	-1	2	3	-4	-5	5	3	4	3	-3	-5	3	5	-3	-3	2	5	-3	-1	4	5	-3	-3	4	5	-3	-1	4	5	-4	-1	4	5	-3	-5	4	5	4	1	4	1	-13	11	34	-3	7	34
9	2	35	3	5	-3	-1	3	3	-1	-1	4	3	4	3	5	3	-1	-1	4	5	-2	-1	5	3	5	3	-1	-3	4	5	-1	-1	5	5	-2	-3	5	5	-2	-1	4	5	-1	-5	3	3	-4	-1	5	5	-3	-1	4	5	5	3	5	5	-2	16	38	3	13	34
